T=1; TrainA; Trans: A->A-C
T=3; TrainC; Start
T=4; TrainA; Trans: A-C->A
T=4; TrainB; Start
T=5; TrainB; Trans: B->B-C
T=5; TrainA; Stop
T=5; TrainB; Stop
T=6; TrainC; Trans: C->B-C
T=7; TrainA; Start
T=7; TrainC; Stop
T=8; TrainC; Start
T=10; TrainC; Trans: B-C->C
T=11; TrainA; Trans: A->A-C
T=11; TrainB; Start
T=12; TrainA; Stop
T=12; TrainC; Stop
T=14; TrainB; Trans: B-C->B
T=14; TrainA; Start
T=16; TrainA; Trans: A-C->A
T=16; TrainC; Start
T=19; TrainB; Trans: B->B-C
T=19; TrainC; Trans: C->B-C
T=19; TrainB; Stop
T=20; TrainA; Stop
T=20; TrainC; Stop
T=21; TrainC; Start
T=23; TrainC; Trans: B-C->C
T=24; TrainB; Start
T=25; TrainC; Stop
T=27; TrainB; Trans: B-C->B
T=27; TrainA; Start
T=28; TrainA; Trans: A->A-C
T=28; TrainC; Start
T=31; TrainA; Trans: A-C->A
T=31; TrainC; Trans: C->B-C
T=32; TrainB; Trans: B->B-C
T=32; TrainA; Stop
T=32; TrainB; Stop
T=32; TrainC; Stop
T=33; TrainC; Start
T=35; TrainC; Trans: B-C->C
T=35; TrainA; Start
T=37; TrainB; Start
T=37; TrainC; Stop
T=39; TrainA; Trans: A->A-C
T=40; TrainB; Trans: B-C->B
T=40; TrainA; Stop
T=40; TrainC; Start
T=42; TrainC; Stop
T=43; TrainA; Start
T=45; TrainA; Trans: A-C->A
T=45; TrainB; Trans: B->B-C
T=45; TrainB; Stop
T=45; TrainC; Start
T=46; TrainC; Trans: C->B-C
T=47; TrainC; Stop
T=48; TrainB; Start
T=49; TrainA; Stop
T=50; TrainC; Start
T=51; TrainB; Trans: B-C->B
T=51; TrainA; Start
T=52; TrainA; Trans: A->A-C
T=52; TrainC; Trans: B-C->C
T=54; TrainC; Stop
T=55; TrainA; Trans: A-C->A
T=56; TrainB; Trans: B->B-C
T=56; TrainA; Stop
T=56; TrainB; Stop
T=57; TrainA; Start
T=58; TrainB; Start
T=60; TrainC; Start
T=61; TrainA; Trans: A->A-C
